"","Регион","Месяц","Квартал","Индекс потребительской активности","Доля безналичных платежей","Количество внутренних туристов","Всего одобренных заявок","Доля онлайн-заявок","Доля заявок в офисе банка","Всего ипотечных сделок","Доля сделок, первичка","Доля сделок, вторичка","Среднемесячная заработная плата","Число активных абонентов беспроводного доступа к сети","Уровень безработицы населения"
"537","Республика Калмыкия","Сентябрь","Квартал 3",69,48.4,2.56,"100 - 500",0.36,0.64,"100 - 500",0.16,0.82,31560.3,424,10.3
"538","Республика Калмыкия","Октябрь","Квартал 4",67,48.3,-10.3,"100 - 500",0.35,0.65,"100 - 500",0.13,0.84,31636.2,432,9.1
"539","Республика Калмыкия","Ноябрь","Квартал 4",62.5,50.7,-4.99,"100 - 500",0.34,0.66,"100 - 500",0.12,0.86,31202.8,432,9.1
"540","Республика Калмыкия","Декабрь","Квартал 4",65,49.1,-9.09,"100 - 500",0.38,0.62,"100 - 500",0.14,0.83,40838.8,432,9.1
"541","Республика Карачаево-Черкессия","Январь","Квартал 1",51,34.3,38.24,"100 - 500",0.33,0.67,"50 - 100",0.05,0.88,26970.4,1022,13.1
"542","Республика Карачаево-Черкессия","Февраль","Квартал 1",57,30.8,39.64,"100 - 500",0.27,0.73,"50 - 100",0.05,0.92,27225.6,1022,13.1
"543","Республика Карачаево-Черкессия","Март","Квартал 1",58,30.5,28.28,"100 - 500",0.32,0.68,"50 - 100",0.04,0.94,28643.9,1022,13.1
"544","Республика Карачаево-Черкессия","Апрель","Квартал 2",44.5,33,-44.21,"100 - 500",0.5,0.5,"50 - 100",0.04,0.95,27986.6,1043,16.4
"545","Республика Карачаево-Черкессия","Май","Квартал 2",51,33.3,-41.81,"100 - 500",0.44,0.56,"50 - 100",0.11,0.87,28951.5,1043,16.4
"546","Республика Карачаево-Черкессия","Июнь","Квартал 2",60,32.3,-16.71,"100 - 500",0.35,0.65,"50 - 100",0.14,0.86,32800.3,1043,16.4
"547","Республика Карачаево-Черкессия","Июль","Квартал 3",68,30.8,-0.5,"100 - 500",0.39,0.61,"100 - 500",0.07,0.92,30765.2,1050,14.7
"548","Республика Карачаево-Черкессия","Август","Квартал 3",67,33.5,43.4,"100 - 500",0.44,0.56,"100 - 500",0.07,0.91,28114.7,1050,14.7
"549","Республика Карачаево-Черкессия","Сентябрь","Квартал 3",68.5,32.3,48.03,"100 - 500",0.36,0.64,"100 - 500",0.04,0.96,29088.2,1050,14.7
"550","Республика Карачаево-Черкессия","Октябрь","Квартал 4",69,32.1,3.63,"100 - 500",0.4,0.6,"100 - 500",0.09,0.9,29435.5,1071,15
"551","Республика Карачаево-Черкессия","Ноябрь","Квартал 4",65,33.6,-16.04,"100 - 500",0.45,0.55,"100 - 500",0.04,0.92,29230.6,1071,15
"552","Республика Карачаево-Черкессия","Декабрь","Квартал 4",71,33.3,6.73,"500 - 1 000",0.38,0.62,"100 - 500",0.05,0.94,40028,1071,15
"553","Республика Карелия","Январь","Квартал 1",61,62.4,19.11,"100 - 500",0.31,0.69,"100 - 500",0.28,0.68,42855.3,NA,7.4
"554","Республика Карелия","Февраль","Квартал 1",64,60.2,28.96,"500 - 1 000",0.29,0.71,"100 - 500",0.26,0.72,43708.4,NA,7.4
"555","Республика Карелия","Март","Квартал 1",64,61.4,13.16,"500 - 1 000",0.32,0.68,"100 - 500",0.27,0.72,45287.6,NA,7.4
"556","Республика Карелия","Апрель","Квартал 2",40.5,62.8,-55.21,"100 - 500",0.52,0.48,"100 - 500",0.29,0.68,44129.4,NA,9.4
"557","Республика Карелия","Май","Квартал 2",47,64.5,-61.41,"500 - 1 000",0.48,0.52,"100 - 500",0.46,0.52,47312.8,NA,9.4
"558","Республика Карелия","Июнь","Квартал 2",63.5,63.4,-3.61,"500 - 1 000",0.4,0.6,"100 - 500",0.47,0.52,50345.3,NA,9.4
"559","Республика Карелия","Июль","Квартал 3",65,62,22.88,"1 000 - 5 000",0.42,0.58,"100 - 500",0.44,0.54,45184.2,NA,9.2
"560","Республика Карелия","Август","Квартал 3",66,63.3,64.08,"1 000 - 5 000",0.39,0.61,"100 - 500",0.41,0.57,42065.8,NA,9.2
"561","Республика Карелия","Сентябрь","Квартал 3",69,62.7,36.8,"500 - 1 000",0.36,0.64,"500 - 1 000",0.34,0.63,44403.2,NA,9.2
"562","Республика Карелия","Октябрь","Квартал 4",71,64.3,24.59,"1 000 - 5 000",0.41,0.59,"500 - 1 000",0.34,0.62,46330.5,NA,8.8
"563","Республика Карелия","Ноябрь","Квартал 4",63,66.1,-3.77,"500 - 1 000",0.4,0.6,"500 - 1 000",0.35,0.62,44047.5,NA,8.8
"564","Республика Карелия","Декабрь","Квартал 4",68,64.5,-9.73,"500 - 1 000",0.45,0.55,"500 - 1 000",0.29,0.66,58486.5,NA,8.8
"565","Республика Коми","Январь","Квартал 1",58,62.7,-2.68,"500 - 1 000",0.35,0.65,"100 - 500",0.17,0.82,52853.2,191,7.2
"566","Республика Коми","Февраль","Квартал 1",66,60,0.99,"500 - 1 000",0.31,0.69,"100 - 500",0.15,0.84,52591.1,191,7.2
"567","Республика Коми","Март","Квартал 1",65,62.6,-5.58,"500 - 1 000",0.3,0.7,"100 - 500",0.18,0.8,54920.1,191,7.2
"568","Республика Коми","Апрель","Квартал 2",41.5,62.8,-54.43,"500 - 1 000",0.58,0.42,"100 - 500",0.1,0.89,56629.3,188,8.3
"569","Республика Коми","Май","Квартал 2",55,63.2,-44.93,"500 - 1 000",0.47,0.53,"100 - 500",0.27,0.72,61270.3,188,8.3
"570","Республика Коми","Июнь","Квартал 2",68,61.1,-15.4,"1 000 - 5 000",0.33,0.67,"500 - 1 000",0.26,0.73,59386.3,188,8.3
"571","Республика Коми","Июль","Квартал 3",73,61.5,-6.07,"1 000 - 5 000",0.37,0.63,"500 - 1 000",0.28,0.71,57577.9,174,8
"572","Республика Коми","Август","Квартал 3",67,62.6,-0.45,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.28,0.71,54789,174,8
"573","Республика Коми","Сентябрь","Квартал 3",72,62.1,-0.27,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.3,0.68,54589,174,8
"574","Республика Коми","Октябрь","Квартал 4",70,63.2,-37.18,"1 000 - 5 000",0.37,0.63,"> 1 000",0.28,0.69,54126.9,181,7.5
"575","Республика Коми","Ноябрь","Квартал 4",68,64.9,-36.77,"1 000 - 5 000",0.39,0.61,"500 - 1 000",0.2,0.78,52364.4,181,7.5
"576","Республика Коми","Декабрь","Квартал 4",71,63.4,-32.61,"1 000 - 5 000",0.4,0.6,"500 - 1 000",0.18,0.79,70421,181,7.5
"577","Республика Марий Эл","Январь","Квартал 1",60,54.8,17.17,"100 - 500",0.18,0.82,"100 - 500",0.12,0.84,29153,90,5.7
"578","Республика Марий Эл","Февраль","Квартал 1",62,50.9,18.43,"100 - 500",0.27,0.73,"100 - 500",0.2,0.75,29516.1,90,5.7
"579","Республика Марий Эл","Март","Квартал 1",63,51.6,12.57,"100 - 500",0.23,0.77,"100 - 500",0.2,0.8,30832.5,90,5.7
"580","Республика Марий Эл","Апрель","Квартал 2",44.5,54.5,-46.69,"100 - 500",0.34,0.66,"100 - 500",0.13,0.84,30360.5,87,7.4
"581","Республика Марий Эл","Май","Квартал 2",53,53.7,-42.71,"100 - 500",0.36,0.64,"100 - 500",0.29,0.68,31683.9,87,7.4
"582","Республика Марий Эл","Июнь","Квартал 2",65,51.2,-5.94,"500 - 1 000",0.3,0.7,"100 - 500",0.32,0.66,33868.1,87,7.4
"583","Республика Марий Эл","Июль","Квартал 3",71,51.3,-0.69,"500 - 1 000",0.27,0.73,"100 - 500",0.33,0.65,31256.3,92,7.1
"584","Республика Марий Эл","Август","Квартал 3",68,53,18.88,"500 - 1 000",0.31,0.69,"100 - 500",0.31,0.68,30680.1,92,7.1
"585","Республика Марий Эл","Сентябрь","Квартал 3",71,52.9,4.43,"500 - 1 000",0.28,0.72,"500 - 1 000",0.28,0.7,31028.8,92,7.1
"586","Республика Марий Эл","Октябрь","Квартал 4",68,53.3,-15.83,"500 - 1 000",0.3,0.7,"500 - 1 000",0.27,0.7,32249.7,92,6.9
"587","Республика Марий Эл","Ноябрь","Квартал 4",62.5,56.8,-27.88,"500 - 1 000",0.33,0.67,"500 - 1 000",0.21,0.73,34519.5,92,6.9
"588","Республика Марий Эл","Декабрь","Квартал 4",67,54.6,-20.26,"500 - 1 000",0.34,0.66,"500 - 1 000",0.16,0.8,40669.3,92,6.9
"589","Республика Саха (Якутия)","Январь","Квартал 1",64,58.4,3.65,"1 000 - 5 000",0.31,0.69,"100 - 500",0.51,0.46,70077.1,239,7.1
"590","Республика Саха (Якутия)","Февраль","Квартал 1",70,56.7,5.72,"1 000 - 5 000",0.32,0.68,"500 - 1 000",0.62,0.36,69148.1,239,7.1
"591","Республика Саха (Якутия)","Март","Квартал 1",70,59.1,-6.64,"1 000 - 5 000",0.34,0.66,"500 - 1 000",0.5,0.48,75521.7,239,7.1
"592","Республика Саха (Якутия)","Апрель","Квартал 2",50.5,59,-43.71,"500 - 1 000",0.52,0.48,"500 - 1 000",0.35,0.62,76126.2,221,7.7
"593","Республика Саха (Якутия)","Май","Квартал 2",54,60.5,-42.56,"500 - 1 000",0.5,0.5,"100 - 500",0.28,0.64,81960.1,221,7.7
"594","Республика Саха (Якутия)","Июнь","Квартал 2",63,60,-35.93,"1 000 - 5 000",0.46,0.54,"100 - 500",0.3,0.61,78148.5,221,7.7
"595","Республика Саха (Якутия)","Июль","Квартал 3",68,61,-20.56,"1 000 - 5 000",0.44,0.56,"500 - 1 000",0.25,0.68,69017.6,212,7.3
"596","Республика Саха (Якутия)","Август","Квартал 3",67,62.7,-1.14,"1 000 - 5 000",0.47,0.53,"500 - 1 000",0.26,0.68,65392,212,7.3
"597","Республика Саха (Якутия)","Сентябрь","Квартал 3",69,61.8,-2.85,"1 000 - 5 000",0.5,0.5,"500 - 1 000",0.19,0.72,73711,212,7.3
"598","Республика Саха (Якутия)","Октябрь","Квартал 4",68,63.1,-27.69,"1 000 - 5 000",0.5,0.5,"500 - 1 000",0.19,0.72,75352.2,148,7.5
"599","Республика Саха (Якутия)","Ноябрь","Квартал 4",62.5,63.9,-28.99,"500 - 1 000",0.49,0.51,"500 - 1 000",0.19,0.72,75528.6,148,7.5
"600","Республика Саха (Якутия)","Декабрь","Квартал 4",64,64.3,-22.48,"1 000 - 5 000",0.48,0.52,"500 - 1 000",0.21,0.71,110448.7,148,7.5
"601","Республика Северная Осетия-Алания","Январь","Квартал 1",51,33.5,52.17,"100 - 500",0.26,0.74,"50 - 100",0.2,0.67,27596.4,11,14
"602","Республика Северная Осетия-Алания","Февраль","Квартал 1",55,29.6,26.96,"100 - 500",0.26,0.74,"100 - 500",0.2,0.69,28462.6,11,14
"603","Республика Северная Осетия-Алания","Март","Квартал 1",58,29.6,13.44,"100 - 500",0.25,0.75,"100 - 500",0.23,0.63,28437.1,11,14
"604","Республика Северная Осетия-Алания","Апрель","Квартал 2",45.5,28.1,-62.15,"100 - 500",0.48,0.52,"100 - 500",0.13,0.79,28801.4,9,17.9
"605","Республика Северная Осетия-Алания","Май","Квартал 2",51,30.2,-63.46,"100 - 500",0.4,0.6,"100 - 500",0.39,0.57,32912.2,9,17.9
"606","Республика Северная Осетия-Алания","Июнь","Квартал 2",61,29.5,-31.44,"100 - 500",0.31,0.69,"100 - 500",0.32,0.62,32720.9,9,17.9
"607","Республика Северная Осетия-Алания","Июль","Квартал 3",67,29.8,-23.34,"500 - 1 000",0.36,0.64,"100 - 500",0.28,0.6,29353.3,40,15.3
"608","Республика Северная Осетия-Алания","Август","Квартал 3",65,32.4,-15.38,"500 - 1 000",0.37,0.63,"100 - 500",0.33,0.58,28258.1,40,15.3
"609","Республика Северная Осетия-Алания","Сентябрь","Квартал 3",69,32.8,4.78,"500 - 1 000",0.37,0.63,"100 - 500",0.27,0.64,29128.5,40,15.3
"610","Республика Северная Осетия-Алания","Октябрь","Квартал 4",69,33.1,-9.97,"500 - 1 000",0.38,0.62,"100 - 500",0.18,0.77,29881.7,49,14.8
"611","Республика Северная Осетия-Алания","Ноябрь","Квартал 4",64.5,34.4,-22.1,"500 - 1 000",0.39,0.61,"100 - 500",0.22,0.74,29134,49,14.8
"612","Республика Северная Осетия-Алания","Декабрь","Квартал 4",71,32.6,-14.18,"500 - 1 000",0.39,0.61,"100 - 500",0.16,0.74,40572,49,14.8
"613","Республика Татарстан","Январь","Квартал 1",64,53.8,16.56,"1 000 - 5 000",0.3,0.7,"> 1 000",0.15,0.82,37039.9,1093,3.2
"614","Республика Татарстан","Февраль","Квартал 1",71,51.1,22.65,"1 000 - 5 000",0.27,0.73,"> 1 000",0.17,0.79,37151.5,1093,3.2
"615","Республика Татарстан","Март","Квартал 1",70,52.3,0.59,"1 000 - 5 000",0.29,0.71,"> 1 000",0.16,0.81,39071,1093,3.2
"616","Республика Татарстан","Апрель","Квартал 2",36,51.3,-67.45,"1 000 - 5 000",0.42,0.58,"> 1 000",0.13,0.83,37078.3,1086,3.9
"617","Республика Татарстан","Май","Квартал 2",50,52,-65.34,"1 000 - 5 000",0.39,0.61,"> 1 000",0.3,0.67,39019.6,1086,3.9
"618","Республика Татарстан","Июнь","Квартал 2",59,51.2,-26.81,"1 000 - 5 000",0.33,0.67,"> 1 000",0.28,0.68,38555.8,1086,3.9
"619","Республика Татарстан","Июль","Квартал 3",69,51.6,-13.8,"5 000 - 10 000",0.4,0.6,"> 1 000",0.27,0.7,37663.2,1085,4
"620","Республика Татарстан","Август","Квартал 3",67,53.6,9.39,"5 000 - 10 000",0.37,0.63,"> 1 000",0.27,0.69,38034.2,1085,4
"621","Республика Татарстан","Сентябрь","Квартал 3",77,53.2,7.47,"5 000 - 10 000",0.38,0.62,"> 1 000",0.19,0.75,39487.5,1085,4
"622","Республика Татарстан","Октябрь","Квартал 4",75,53.9,-12.66,"5 000 - 10 000",0.4,0.6,"> 1 000",0.19,0.75,40151,1095,3.5
"623","Республика Татарстан","Ноябрь","Квартал 4",62,56.3,-28.49,"1 000 - 5 000",0.4,0.6,"> 1 000",0.14,0.79,40043.8,1095,3.5
"624","Республика Татарстан","Декабрь","Квартал 4",71,54.8,-24.96,"5 000 - 10 000",0.4,0.6,"> 1 000",0.14,0.81,51855.1,1095,3.5
"625","Республика Тыва","Январь","Квартал 1",47,48.2,7.05,"100 - 500",0.54,0.46,"50 - 100",0.04,0.96,38150.9,578,12
"626","Республика Тыва","Февраль","Квартал 1",57,45.9,14.71,"100 - 500",0.45,0.55,"50 - 100",0.07,0.93,38862.7,578,12
"627","Республика Тыва","Март","Квартал 1",56,47.3,5.42,"100 - 500",0.57,0.43,"50 - 100",0,0.97,41033.5,578,12
"628","Республика Тыва","Апрель","Квартал 2",46,51.4,-34.08,"100 - 500",0.71,0.29,"50 - 100",0.07,0.91,40108.1,597,19.5
"629","Республика Тыва","Май","Квартал 2",51,51.4,-51.9,"100 - 500",0.57,0.43,"50 - 100",0.02,0.93,46868.3,597,19.5
"630","Республика Тыва","Июнь","Квартал 2",58,50.1,-44.13,"100 - 500",0.49,0.51,"50 - 100",0.03,0.95,51303.5,597,19.5
"631","Республика Тыва","Июль","Квартал 3",61,49.7,-32.44,"100 - 500",0.59,0.41,"100 - 500",0.2,0.78,38361.4,725,21.6
"632","Республика Тыва","Август","Квартал 3",62,50.7,-10.16,"100 - 500",0.6,0.4,"100 - 500",0.15,0.83,39447.7,725,21.6
"633","Республика Тыва","Сентябрь","Квартал 3",66.5,50.6,9.07,"100 - 500",0.55,0.45,"100 - 500",0.13,0.86,42565.1,725,21.6
"634","Республика Тыва","Октябрь","Квартал 4",64,52.2,-16.02,"100 - 500",0.59,0.41,"100 - 500",0.1,0.88,42318.3,852,18.3
"635","Республика Тыва","Ноябрь","Квартал 4",56.5,52,-27.23,"100 - 500",0.6,0.4,"100 - 500",0.09,0.89,49214.7,852,18.3
"636","Республика Тыва","Декабрь","Квартал 4",68,51.8,-21.22,"100 - 500",0.5,0.5,"100 - 500",0.07,0.9,58237.4,852,18.3
"637","Республика Хакасия","Январь","Квартал 1",53,50,23.3,"100 - 500",0.38,0.62,"100 - 500",0.17,0.8,39976.4,1900,7.2
"638","Республика Хакасия","Февраль","Квартал 1",56,47.2,38.57,"100 - 500",0.32,0.68,"100 - 500",0.09,0.91,40090.8,1900,7.2
"639","Республика Хакасия","Март","Квартал 1",56,52.8,12.73,"100 - 500",0.39,0.61,"100 - 500",0.13,0.85,42007.2,1900,7.2
"640","Республика Хакасия","Апрель","Квартал 2",50,55.4,-39.17,"100 - 500",0.57,0.43,"100 - 500",0.13,0.87,42608.9,1983,9.8
"641","Республика Хакасия","Май","Квартал 2",56,49.2,-28.7,"100 - 500",0.52,0.48,"100 - 500",0.23,0.76,45213.1,1983,9.8
"642","Республика Хакасия","Июнь","Квартал 2",63,50.3,0.37,"500 - 1 000",0.47,0.53,"100 - 500",0.31,0.65,48266.3,1983,9.8
"643","Республика Хакасия","Июль","Квартал 3",67,50.4,5.78,"500 - 1 000",0.46,0.54,"100 - 500",0.28,0.7,40649.1,1993,9.8
"644","Республика Хакасия","Август","Квартал 3",65,54.7,26.9,"500 - 1 000",0.46,0.54,"100 - 500",0.28,0.71,41214.1,1993,9.8
"645","Республика Хакасия","Сентябрь","Квартал 3",68,58.6,19.25,"500 - 1 000",0.42,0.58,"100 - 500",0.3,0.68,41688,1993,9.8
"646","Республика Хакасия","Октябрь","Квартал 4",65,51.4,-12.71,"500 - 1 000",0.44,0.56,"100 - 500",0.31,0.67,42129.1,2013,7.7
"647","Республика Хакасия","Ноябрь","Квартал 4",57,58.4,-16.13,"500 - 1 000",0.47,0.53,"100 - 500",0.21,0.77,43109.8,2013,7.7
"648","Республика Хакасия","Декабрь","Квартал 4",69,51.9,-7.92,"500 - 1 000",0.52,0.48,"100 - 500",0.16,0.8,54343.2,2013,7.7
"649","Ростовская область","Январь","Квартал 1",64,51.4,24.15,"1 000 - 5 000",0.29,0.71,"500 - 1 000",0.29,0.68,32942.9,7258,4.5
"650","Ростовская область","Февраль","Квартал 1",71,48.4,16.58,"1 000 - 5 000",0.27,0.73,"500 - 1 000",0.24,0.73,32934.6,7258,4.5
"651","Ростовская область","Март","Квартал 1",71,47.7,23.43,"1 000 - 5 000",0.29,0.71,"> 1 000",0.25,0.72,34696.2,7258,4.5
"652","Ростовская область","Апрель","Квартал 2",41.5,47.8,-46.87,"1 000 - 5 000",0.46,0.54,"500 - 1 000",0.14,0.82,33201.7,7352,5.2
"653","Ростовская область","Май","Квартал 2",52,47.6,-47.28,"1 000 - 5 000",0.37,0.63,"> 1 000",0.45,0.52,34561.2,7352,5.2
"654","Ростовская область","Июнь","Квартал 2",67,46.1,-23.27,"1 000 - 5 000",0.34,0.66,"> 1 000",0.43,0.55,36006.2,7352,5.2
"655","Ростовская область","Июль","Квартал 3",74,44.9,10.15,"1 000 - 5 000",0.41,0.59,"> 1 000",0.38,0.6,35263.4,7343,5
"656","Ростовская область","Август","Квартал 3",75,46.6,40.38,"1 000 - 5 000",0.44,0.56,"> 1 000",0.33,0.65,33685.8,7343,5
"657","Ростовская область","Сентябрь","Квартал 3",81,47,38.41,"1 000 - 5 000",0.46,0.54,"> 1 000",0.28,0.69,34659.3,7343,5
"658","Ростовская область","Октябрь","Квартал 4",77,48.3,7.15,"1 000 - 5 000",0.47,0.53,"> 1 000",0.31,0.67,35094,6312,5.4
"659","Ростовская область","Ноябрь","Квартал 4",68,51,-13.69,"1 000 - 5 000",0.48,0.52,"> 1 000",0.26,0.7,36236.7,6312,5.4
"660","Ростовская область","Декабрь","Квартал 4",73,50.3,-14.67,"1 000 - 5 000",0.48,0.52,"> 1 000",0.23,0.73,47581.5,6312,5.4
"661","Рязанская область","Январь","Квартал 1",60,48.8,25.96,"500 - 1 000",0.22,0.78,"100 - 500",0.36,0.62,32856.9,622,4.3
"662","Рязанская область","Февраль","Квартал 1",65,44.1,21.38,"500 - 1 000",0.2,0.8,"100 - 500",0.28,0.7,33496.6,622,4.3
"663","Рязанская область","Март","Квартал 1",65,46.6,21.2,"500 - 1 000",0.2,0.8,"100 - 500",0.31,0.67,35097.9,622,4.3
"664","Рязанская область","Апрель","Квартал 2",46.5,47.2,-23.98,"100 - 500",0.34,0.66,"100 - 500",0.27,0.71,35362.5,569,5.2
"665","Рязанская область","Май","Квартал 2",55,48.4,-23.33,"500 - 1 000",0.25,0.75,"100 - 500",0.47,0.51,36199.8,569,5.2
"666","Рязанская область","Июнь","Квартал 2",67,46.6,37.99,"1 000 - 5 000",0.22,0.78,"500 - 1 000",0.48,0.5,38062.8,569,5.2
"667","Рязанская область","Июль","Квартал 3",72,46.7,25.14,"1 000 - 5 000",0.31,0.69,"500 - 1 000",0.48,0.5,35988.8,535,5.5
"668","Рязанская область","Август","Квартал 3",71,48.5,34.87,"1 000 - 5 000",0.34,0.66,"500 - 1 000",0.43,0.54,35324.2,535,5.5
"669","Рязанская область","Сентябрь","Квартал 3",75,48.2,22.11,"1 000 - 5 000",0.33,0.67,"500 - 1 000",0.41,0.54,35998.7,535,5.5
"670","Рязанская область","Октябрь","Квартал 4",72,49.3,31.4,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.39,0.58,36244.8,549,6.4
"671","Рязанская область","Ноябрь","Квартал 4",67,52.3,9.46,"1 000 - 5 000",0.37,0.63,"500 - 1 000",0.34,0.62,34819.7,549,6.4
"672","Рязанская область","Декабрь","Квартал 4",73,48.9,7.17,"1 000 - 5 000",0.4,0.6,"500 - 1 000",0.34,0.63,46431.1,549,6.4
"673","Самарская область","Январь","Квартал 1",64,55.3,17.73,"1 000 - 5 000",0.44,0.56,"500 - 1 000",0.14,0.83,35214.8,3023,3.1
"674","Самарская область","Февраль","Квартал 1",67,53.2,18.42,"1 000 - 5 000",0.42,0.58,"> 1 000",0.13,0.85,35604.9,3023,3.1
"675","Самарская область","Март","Квартал 1",68,54.4,7.52,"1 000 - 5 000",0.41,0.59,"> 1 000",0.12,0.86,37044.3,3023,3.1
"676","Самарская область","Апрель","Квартал 2",50,53.7,-55.56,"1 000 - 5 000",0.57,0.43,"500 - 1 000",0.1,0.88,38012.2,2979,4.9
"677","Самарская область","Май","Квартал 2",58,54.2,-51.85,"1 000 - 5 000",0.55,0.45,"500 - 1 000",0.18,0.79,39209.8,2979,4.9
"678","Самарская область","Июнь","Квартал 2",69,53.3,-21.77,"1 000 - 5 000",0.43,0.57,"> 1 000",0.22,0.76,39427.2,2979,4.9
"679","Самарская область","Июль","Квартал 3",76,53.7,-8,"1 000 - 5 000",0.48,0.52,"> 1 000",0.21,0.77,39159.9,3223,5.2
"680","Самарская область","Август","Квартал 3",74,55.2,26.03,"1 000 - 5 000",0.5,0.5,"> 1 000",0.24,0.74,36723.8,3223,5.2
"681","Самарская область","Сентябрь","Квартал 3",75.5,55,9.01,"1 000 - 5 000",0.48,0.52,"> 1 000",0.19,0.77,37862.3,3223,5.2
"682","Самарская область","Октябрь","Квартал 4",74,55.9,-16.25,"1 000 - 5 000",0.51,0.49,"> 1 000",0.16,0.8,37841.2,3156,4.6
"683","Самарская область","Ноябрь","Квартал 4",67,58,-32.34,"1 000 - 5 000",0.52,0.48,"> 1 000",0.16,0.8,37967.5,3156,4.6
"684","Самарская область","Декабрь","Квартал 4",70,56.7,-22.95,"1 000 - 5 000",0.51,0.49,"> 1 000",0.15,0.82,48982.7,3156,4.6
"685","Санкт-Петербург","Январь","Квартал 1",69,59.2,23.68,"1 000 - 5 000",0.45,0.55,"> 1 000",0.42,0.54,62513.1,6787,1.5
"686","Санкт-Петербург","Февраль","Квартал 1",74,56.2,18.6,"5 000 - 10 000",0.41,0.59,"> 1 000",0.37,0.58,65249.2,6787,1.5
"687","Санкт-Петербург","Март","Квартал 1",72,57.5,-3.74,"5 000 - 10 000",0.43,0.57,"> 1 000",0.35,0.61,72000.8,6787,1.5
"688","Санкт-Петербург","Апрель","Квартал 2",38,58.2,-80.89,"1 000 - 5 000",0.51,0.49,"> 1 000",0.26,0.7,62297.6,6975,2.7
"689","Санкт-Петербург","Май","Квартал 2",47,59.9,-83.71,"5 000 - 10 000",0.48,0.52,"> 1 000",0.55,0.43,64265,6975,2.7
"690","Санкт-Петербург","Июнь","Квартал 2",61.5,59,-58.15,"5 000 - 10 000",0.44,0.56,"> 1 000",0.53,0.45,70493.5,6975,2.7
"691","Санкт-Петербург","Июль","Квартал 3",69,58.7,-15.03,"> 10 000",0.55,0.45,"> 1 000",0.53,0.45,68216.6,7182,3.8
"692","Санкт-Петербург","Август","Квартал 3",70,60.7,33.3,"> 10 000",0.58,0.42,"> 1 000",0.46,0.51,63278.9,7182,3.8
"693","Санкт-Петербург","Сентябрь","Квартал 3",75,60.2,14.33,"> 10 000",0.57,0.43,"> 1 000",0.38,0.57,67935,7182,3.8
"694","Санкт-Петербург","Октябрь","Квартал 4",73,60.9,-16.12,"> 10 000",0.6,0.4,"> 1 000",0.34,0.6,66952.2,7519,3.6
"695","Санкт-Петербург","Ноябрь","Квартал 4",62,62.7,-34.65,"5 000 - 10 000",0.61,0.39,"> 1 000",0.29,0.65,65464.6,7519,3.6
"696","Санкт-Петербург","Декабрь","Квартал 4",69,61,-39.35,"5 000 - 10 000",0.6,0.4,"> 1 000",0.28,0.66,92239.9,7519,3.6
"697","Саратовская область","Январь","Квартал 1",62,53.2,6.51,"1 000 - 5 000",0.33,0.67,"500 - 1 000",0.12,0.86,30366.2,1149,4.5
"698","Саратовская область","Февраль","Квартал 1",66,48.7,7.61,"1 000 - 5 000",0.33,0.67,"500 - 1 000",0.12,0.87,30367.3,1149,4.5
"699","Саратовская область","Март","Квартал 1",69,49.8,3.66,"1 000 - 5 000",0.31,0.69,"500 - 1 000",0.13,0.85,31690.9,1149,4.5
"700","Саратовская область","Апрель","Квартал 2",47,51,-52.16,"500 - 1 000",0.49,0.51,"500 - 1 000",0.08,0.9,31905.8,1188,5.2
"701","Саратовская область","Май","Квартал 2",55,51.1,-51.85,"1 000 - 5 000",0.48,0.52,"500 - 1 000",0.22,0.76,33849.8,1188,5.2
"702","Саратовская область","Июнь","Квартал 2",69,49.5,-12.46,"1 000 - 5 000",0.41,0.59,"500 - 1 000",0.19,0.79,34351.1,1188,5.2
"703","Саратовская область","Июль","Квартал 3",77,48.9,-6.25,"1 000 - 5 000",0.42,0.58,"500 - 1 000",0.2,0.78,33673.9,1204,6.3
"704","Саратовская область","Август","Квартал 3",75,50.4,11.44,"1 000 - 5 000",0.4,0.6,"> 1 000",0.2,0.79,32768,1204,6.3
"705","Саратовская область","Сентябрь","Квартал 3",80,50.6,6.99,"1 000 - 5 000",0.41,0.59,"> 1 000",0.18,0.8,32972.8,1204,6.3
"706","Саратовская область","Октябрь","Квартал 4",79,51.5,-14.92,"1 000 - 5 000",0.44,0.56,"> 1 000",0.16,0.82,33004.9,1209,6.3
"707","Саратовская область","Ноябрь","Квартал 4",70,53.8,-28.51,"1 000 - 5 000",0.43,0.57,"> 1 000",0.18,0.81,32738.3,1209,6.3
"708","Саратовская область","Декабрь","Квартал 4",70,52.6,-18.87,"1 000 - 5 000",0.43,0.57,"> 1 000",0.14,0.84,43019.5,1209,6.3
"709","Сахалинская область","Январь","Квартал 1",57,59,3.61,"500 - 1 000",0.45,0.55,"100 - 500",0.39,0.57,94405.8,955,5.3
"710","Сахалинская область","Февраль","Квартал 1",65,56.3,7.88,"100 - 500",0.4,0.6,"100 - 500",0.51,0.49,86473.3,955,5.3
"711","Сахалинская область","Март","Квартал 1",65,59.4,24.38,"100 - 500",0.49,0.51,"100 - 500",0.33,0.66,87367.1,955,5.3
